"","Site1","Site2","rxy","wang","lynchli","lxy","SPDistance","GDistance","NDistance","F1Distance"
"88","ERI","SES",-0.00599258927548534,-0.00298081183596751,-0.00307348487041916,-0.00325107660819268,81.06229812,70.39929237,0.122,0.0145589205093086
"89","ERI","SIL",-0.00843633368598175,-0.00671116974896145,-0.00778823935225766,-0.00271139227323228,373.843266,350.2273367,0.131,0.00914283407673522
"90","ERI","SIN",-0.0018921814029505,-0.00274944532118266,-0.00318976515889984,-0.00218118033954179,162.2817874,135.4989288,0.143,0.0116747263419865
"91","ERI","VP",-0.00271123966390389,-7.43673355949657e-05,-0.00261508095834843,0.000449802227958524,331.3144646,305.2603138,0.112,0.00624880507954397
"92","ESPO","ESPO",0.00223485648689911,0.00201175605525467,0.00692259276228309,0.000393314907259743,0,0,0,0
"93","ESPO","FIG",0.00228948683020506,0.00287198210650919,0.00876230572660536,-0.00176348255869097,157.8730176,155.7204786,0.101,0.00695808033511565
"94","ESPO","GROVE",-0.00231422769860811,-0.00487723643476864,-0.00339369860055519,-0.00240106918498603,104.102768,99.72839088,0.101,0.0109587933195843
"95","ESPO","ONS",-0.000441280924925905,-0.00167191955282384,0.00161314266275135,-0.0035046443303501,96.93442116,91.54282722,0.094,0.00742472018778397
"96","ESPO","SALV",0.00905194904490318,0.00478766156760395,0.0126383964697436,-0.000560747656787513,107.8190626,102.3976683,0.089,0.00379434261508502
"97","ESPO","SES",-0.000504778391905025,-0.000624168963007002,0.00308129277844282,-0.00310584290364732,397.9342655,352.5904769,0.12,0.0130891113182316
"98","ESPO","SIL",0.000527628987128217,-0.00251580991100498,0.00198422285544576,-0.000513824925522982,64.67786247,60.38783048,0.115,0.0104684531748919
"99","ESPO","SIN",0.00140028214727446,-0.0036719741833495,0.00163561809754841,-0.00297510116533274,479.1537548,411.6256426,0.149,0.0158472165786266
