"","Site1","Site2","estimator","relatedness","distance_metric","distance"
"57","CIESS","SIN","rxy",0.00683130380875746,"SPDistance",546.560544
"58","CIESS","VP","rxy",0.00104263718628927,"SPDistance",61.09519476
"59","COR","COR","rxy",-0.0018267753084491,"SPDistance",0
"60","COR","COUSO","rxy",-0.00377198655653275,"SPDistance",36.09169814
"61","COR","ERI","rxy",-0.00895945730604428,"SPDistance",416.2952876
"62","COR","ESPO","rxy",0.00175161780354114,"SPDistance",122.2737509
"63","COR","FIG","rxy",-0.000630156962057114,"SPDistance",272.5978495
"64","COR","GROVE","rxy",-0.000237382060020356,"SPDistance",18.17098297
"65","COR","ONS","rxy",-0.00258276084400948,"SPDistance",25.33932977
"66","COR","SALV","rxy",0.00353797323582997,"SPDistance",14.46039884
"67","COR","SES","rxy",0.00126791371177876,"SPDistance",497.0636869
"68","COR","SIL","rxy",-0.00297458516574221,"SPDistance",57.59588846
"69","COR","SIN","rxy",0.00249911275997783,"SPDistance",578.2831761
"70","COR","VP","rxy",-0.00249122237117736,"SPDistance",107.9390791
"71","COUSO","COUSO","rxy",-0.00414164888686274,"SPDistance",0
"72","COUSO","ERI","rxy",-0.00937228866119846,"SPDistance",395.2282498
"73","COUSO","ESPO","rxy",0.000425544928171355,"SPDistance",86.1820528
"74","COUSO","FIG","rxy",-0.000388443644120571,"SPDistance",236.5061513
"75","COUSO","GROVE","rxy",-0.00435790885543248,"SPDistance",17.92071516
"76","COUSO","ONS","rxy",-0.00193093416917043,"SPDistance",10.75236836
"77","COUSO","SALV","rxy",-5.28628570311149e-05,"SPDistance",21.63700985
"78","COUSO","SES","rxy",-0.00102056942047308,"SPDistance",476.0250886
"79","COUSO","SIL","rxy",-0.0015916865909316,"SPDistance",21.50419033
"80","COUSO","SIN","rxy",-0.00153016211264825,"SPDistance",557.2445778
"81","COUSO","VP","rxy",-0.00206668167571955,"SPDistance",71.84738097
"82","ERI","ERI","rxy",-0.00892082893268988,"SPDistance",0
"83","ERI","ESPO","rxy",-0.00230365253483691,"SPDistance",317.0697597
"84","ERI","FIG","rxy",-0.00487087350816132,"SPDistance",160.012996
"85","ERI","GROVE","rxy",-0.00783369140596756,"SPDistance",413.0493519
"86","ERI","ONS","rxy",-0.00746238109050384,"SPDistance",405.9208801
"87","ERI","SALV","rxy",-0.00291235491336315,"SPDistance",409.3159594
"88","ERI","SES","rxy",-0.00599258927548534,"SPDistance",81.06229812
"89","ERI","SIL","rxy",-0.00843633368598175,"SPDistance",373.843266
"90","ERI","SIN","rxy",-0.0018921814029505,"SPDistance",162.2817874
"91","ERI","VP","rxy",-0.00271123966390389,"SPDistance",331.3144646
"92","ESPO","ESPO","rxy",0.00223485648689911,"SPDistance",0
"93","ESPO","FIG","rxy",0.00228948683020506,"SPDistance",157.8730176
"94","ESPO","GROVE","rxy",-0.00231422769860811,"SPDistance",104.102768
"95","ESPO","ONS","rxy",-0.000441280924925905,"SPDistance",96.93442116
"96","ESPO","SALV","rxy",0.00905194904490318,"SPDistance",107.8190626
"97","ESPO","SES","rxy",-0.000504778391905025,"SPDistance",397.9342655
"98","ESPO","SIL","rxy",0.000527628987128217,"SPDistance",64.67786247
"99","ESPO","SIN","rxy",0.00140028214727446,"SPDistance",479.1537548
"100","ESPO","VP","rxy",0.000455771824128184,"SPDistance",14.33467183
"101","FIG","FIG","rxy",9.43355129458339e-05,"SPDistance",0
"102","FIG","GROVE","rxy",-0.000175112518788535,"SPDistance",254.4268665
"103","FIG","ONS","rxy",0.000737103866757332,"SPDistance",247.2585197
"104","FIG","SALV","rxy",0.00762744748328773,"SPDistance",258.1431612
