"","Site1","Site2","distance_metric","distance","n","upr","lwr","estimator","relatedness"
"49","CIESS","ERI","SPDistance",384.5357119,0.103985558935313,0.181154401704404,0.0268167161662222,"n",0.103985558935313
"50","CIESS","ESPO","SPDistance",75.42986659,0.230383857271211,0.325313435874486,0.135454278667936,"n",0.230383857271211
"51","CIESS","FIG","SPDistance",225.7539651,0.156472844340168,0.228493346358238,0.0844523423220987,"n",0.156472844340168
"52","CIESS","GROVE","SPDistance",28.67290137,0.259842990713619,0.379478552971044,0.140207428456194,"n",0.259842990713619
"53","CIESS","ONS","SPDistance",21.50455457,0.264681061819639,0.389044565665294,0.140317557973985,"n",0.264681061819639
"54","CIESS","SALV","SPDistance",32.38919606,0.257369694401975,0.374654723521644,0.140084665282305,"n",0.257369694401975
"55","CIESS","SES","SPDistance",465.3410548,0.0844615688327543,0.161840958442922,0.007082179222587,"n",0.0844615688327543
"56","CIESS","SIL","SPDistance",10.75200412,0.272107614573324,0.40404711705133,0.140168112095319,"n",0.272107614573324
"57","CIESS","SIN","SPDistance",546.560544,0.0685302596967156,0.143862285061003,-0.00680176566757232,"n",0.0685302596967156
"58","CIESS","VP","SPDistance",61.09519476,0.239041612479153,0.340439602251572,0.137643622706734,"n",0.239041612479153
"59","COR","COR","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
"60","COR","COUSO","SPDistance",36.09169814,0.254928988718671,0.369940033469438,0.139917943967905,"n",0.254928988718671
"61","COR","ERI","SPDistance",416.2952876,0.095824427935801,0.173366173556212,0.0182826823153904,"n",0.095824427935801
"62","COR","ESPO","SPDistance",122.2737509,0.204218902251976,0.284311677622353,0.1241261268816,"n",0.204218902251976
"63","COR","FIG","SPDistance",272.5978495,0.138702046551702,0.212144883072529,0.0652592100308759,"n",0.138702046551702
"64","COR","GROVE","SPDistance",18.17098297,0.266961545932667,0.393611370156139,0.140311721709195,"n",0.266961545932667
"65","COR","ONS","SPDistance",25.33932977,0.262081790150686,0.383884144632214,0.140279435669157,"n",0.262081790150686
"66","COR","SALV","SPDistance",14.46039884,0.26952305792328,0.398783646168747,0.140262469677813,"n",0.26952305792328
"67","COR","SES","SPDistance",497.0636869,0.0778401455791179,0.154663408523138,0.00101688263509755,"n",0.0778401455791179
"68","COR","SIL","SPDistance",57.59588846,0.241204045268071,0.344326922149561,0.13808116838658,"n",0.241204045268071
"69","COR","SIN","SPDistance",578.2831761,0.0631577824694443,0.137189444574872,-0.0108738796359838,"n",0.0631577824694443
"70","COR","VP","SPDistance",107.9390791,0.211893386400759,0.295559166520126,0.128227606281392,"n",0.211893386400759
"71","COUSO","COUSO","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
"72","COUSO","ERI","SPDistance",395.2282498,0.101163134664177,0.178499714439401,0.0238265548889525,"n",0.101163134664177
"73","COUSO","ESPO","SPDistance",86.1820528,0.224096268766142,0.314790467240002,0.133402070292282,"n",0.224096268766142
"74","COUSO","FIG","SPDistance",236.5061513,0.152202419892122,0.224438774510446,0.079966065273797,"n",0.152202419892122
"75","COUSO","GROVE","SPDistance",17.92071516,0.267133544057185,0.393957270365331,0.140309817749039,"n",0.267133544057185
"76","COUSO","ONS","SPDistance",10.75236836,0.272107359503976,0.404046595424593,0.140168123583359,"n",0.272107359503976
"77","COUSO","SALV","SPDistance",21.63700985,0.264590853152117,0.388864665974253,0.140317040329982,"n",0.264590853152117
"78","COUSO","SES","SPDistance",476.0250886,0.0821708720959288,0.159400640265082,0.00494110392677609,"n",0.0821708720959288
"79","COUSO","SIL","SPDistance",21.50419033,0.264681309927687,0.389045060536831,0.140317559318544,"n",0.264681309927687
"80","COUSO","SIN","SPDistance",557.2445778,0.0666716387353656,0.141593153043589,-0.00824987557285765,"n",0.0666716387353656
"81","COUSO","VP","SPDistance",71.84738097,0.232517738312537,0.328974794667671,0.136060681957403,"n",0.232517738312537
"82","ERI","ERI","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
