"","Site1","Site2","SPDistance","scale","estimator","relatedness"
"58","CIESS","VP",61.09519476,"broad","rxy",0.00104263718628927
"59","COR","COR",0,"broad","rxy",-0.0018267753084491
"60","COR","COUSO",36.09169814,"broad","rxy",-0.00377198655653275
"61","COR","ERI",416.2952876,"broad","rxy",-0.00895945730604428
"62","COR","ESPO",122.2737509,"broad","rxy",0.00175161780354114
"63","COR","FIG",272.5978495,"broad","rxy",-0.000630156962057114
"64","COR","GROVE",18.17098297,"broad","rxy",-0.000237382060020356
"65","COR","ONS",25.33932977,"broad","rxy",-0.00258276084400948
"66","COR","SALV",14.46039884,"broad","rxy",0.00353797323582997
"67","COR","SES",497.0636869,"broad","rxy",0.00126791371177876
"68","COR","SIL",57.59588846,"broad","rxy",-0.00297458516574221
"69","COR","SIN",578.2831761,"broad","rxy",0.00249911275997783
"70","COR","VP",107.9390791,"broad","rxy",-0.00249122237117736
"71","COUSO","COUSO",0,"broad","rxy",-0.00414164888686274
"72","COUSO","ERI",395.2282498,"broad","rxy",-0.00937228866119846
"73","COUSO","ESPO",86.1820528,"broad","rxy",0.000425544928171355
"74","COUSO","FIG",236.5061513,"broad","rxy",-0.000388443644120571
"75","COUSO","GROVE",17.92071516,"broad","rxy",-0.00435790885543248
"76","COUSO","ONS",10.75236836,"broad","rxy",-0.00193093416917043
"77","COUSO","SALV",21.63700985,"broad","rxy",-5.28628570311149e-05
"78","COUSO","SES",476.0250886,"broad","rxy",-0.00102056942047308
"79","COUSO","SIL",21.50419033,"broad","rxy",-0.0015916865909316
"80","COUSO","SIN",557.2445778,"broad","rxy",-0.00153016211264825
"81","COUSO","VP",71.84738097,"broad","rxy",-0.00206668167571955
"82","ERI","ERI",0,"broad","rxy",-0.00892082893268988
"83","ERI","ESPO",317.0697597,"broad","rxy",-0.00230365253483691
"84","ERI","FIG",160.012996,"broad","rxy",-0.00487087350816132
"85","ERI","GROVE",413.0493519,"broad","rxy",-0.00783369140596756
"86","ERI","ONS",405.9208801,"broad","rxy",-0.00746238109050384
"87","ERI","SALV",409.3159594,"broad","rxy",-0.00291235491336315
"88","ERI","SES",81.06229812,"broad","rxy",-0.00599258927548534
"89","ERI","SIL",373.843266,"broad","rxy",-0.00843633368598175
"90","ERI","SIN",162.2817874,"broad","rxy",-0.0018921814029505
"91","ERI","VP",331.3144646,"broad","rxy",-0.00271123966390389
"92","ESPO","ESPO",0,"broad","rxy",0.00223485648689911
